"paperName","researcher","journal","citations","year"
"Economics and consumer behavior","A Deaton, J Muellbauer","Cambridge university press, 1980","7383","1980"
"The analysis of household surveys: a microeconometric approach to development policy","A Deaton","The World Bank, 1997","7333","1997"
"An almost ideal demand system","A Deaton, J Muellbauer","The American economic review 70 (3), 312-326, 1980","5986","1980"
"Understanding consumption","A Deaton","Oxford University Press, 1992","3240","1992"
"Saving and liquidity constraints","A Deaton","National Bureau of Economic Research, 1989","2919","1989"
"High income improves evaluation of life but not emotional well-being","D Kahneman, A Deaton","Proceedings of the national academy of sciences 107 (38), 16489-16493, 2010","2142","2010"
"Health, inequality, and economic development","A Deaton","Journal of economic literature 41 (1), 113-158, 2003","1677","2003"
"Instruments, randomization, and learning about development","A Deaton","Journal of economic literature 48 (2), 424-55, 2010","1643","2010"
"Panel data from time series of cross-sections","A Deaton","Journal of econometrics 30 (1-2), 109-126, 1985","1625","1985"
"On the behaviour of commodity prices","A Deaton, G Laroque","The review of economic studies 59 (1), 1-23, 1992","1589","1992"
"The great escape: health, wealth, and the origins of inequality","A Deaton","Princeton University Press, 2013","1514","2013"
"Income, health, and well-being around the world: Evidence from the Gallup World Poll","A Deaton","Journal of Economic perspectives 22 (2), 53-72, 2008","1510","2008"
"The determinants of mortality","D Cutler, A Deaton, A Lleras-Muney","Journal of economic perspectives 20 (3), 97-120, 2006","1375","2006"
"Rising morbidity and mortality in midlife among white non-Hispanic Americans in the 21st century","A Case, A Deaton","Proceedings of the National Academy of Sciences 112 (49), 15078-15083, 2015","1346","2015"
"Guidelines for constructing consumption aggregates for welfare analysis","A Deaton, S Zaidi","World Bank Publications, 2002","1043","2002"
"Poverty and inequality in India: a re-examination","A Deaton, J Dreze","Economic and political weekly, 3729-3748, 2002","1019","2002"
"Intertemporal choice and inequality","A Deaton, C Paxson","Journal of political economy 102 (3), 437-467, 1994","989","1994"
"A profitable approach to labor supply and commodity demands over the life-cycle","M Browning, A Deaton, M Irish","Econometrica: journal of the econometric society, 503-543, 1985","956","1985"
"Measuring poverty in a growing world (or measuring growth in a poor world)","A Deaton","Review of Economics and statistics 87 (1), 1-19, 2005","854","2005"
"Food and nutrition in India: facts and interpretations","A Deaton, J Drèze","Economic and political weekly, 42-65, 2009","851","2009"
"Large cash transfers to the elderly in South Africa","A Case, A Deaton","The Economic Journal 108 (450), 1330-1361, 1998","826","1998"
"Quality, quantity, and spatial variation of price","A Deaton","The American Economic Review, 418-430, 1988","787","1988"
"Why is consumption so smooth?","J Campbell, A Deaton","The Review of Economic Studies 56 (3), 357-373, 1989","786","1989"
"Subjective wellbeing, health, and ageing","A Steptoe, A Deaton, AA Stone","The Lancet 385 (9968), 640-648, 2015","777","2015"
"School inputs and educational outcomes in South Africa","A Case, A Deaton","The Quarterly Journal of Economics 114 (3), 1047-1084, 1999","726","1999"
"The demand for food and calories","S Subramanian, A Deaton","Journal of political economy 104 (1), 133-162, 1996","701","1996"
"Policy implications of the gradient of health and wealth","A Deaton","Health affairs 21 (2), 13-30, 2002","696","2002"
"Saving in developing countries: Theory and review","A Deaton","The World Bank Economic Review 3 (suppl_1), 61-96, 1989","695","1989"
"Commodity prices and growth in Africa","A Deaton","Journal of Economic Perspectives 13 (3), 23-40, 1999","667","1999"
"Surveys in applied economics: models of consumer behaviour","A Brown, A Deaton","The Economic Journal 82 (328), 1145-1236, 1972","655","1972"
"On measuring child costs: With applications to poor countries","AS Deaton, J Muellbauer","Journal of Political Economy 94 (4), 720-744, 1986","640","1986"
"Economies of scale, household size, and the demand for food","A Deaton, C Paxson","Journal of political economy 106 (5), 897-930, 1998","614","1998"
