"paperName","researcher","journal","citations","year"
"The economic institutions of capitalism. Firms, markets, relational contracting","OE Williamson","Das Summa Summarum des Management, 61-75, 2007","49112","2007"
"The theory of industrial organization","J Tirole","MIT press, 1988","17061","1988"
"A theory of incentives in procurement and regulation","JJ Laffont, J Tirole","MIT press, 1993","6363","1993"
"Platform competition in two-sided markets","JC Rochet, J Tirole","Journal of the european economic association 1 (4), 990-1029, 2003","4360","2003"
"Formal and real authority in organizations","P Aghion, J Tirole","Journal of political economy 105 (1), 1-29, 1997","3983","1997"
"Financial intermediation, loanable funds, and the real sector","B Holmstrom, J Tirole","the Quarterly Journal of economics 112 (3), 663-691, 1997","3809","1997"
"The theory of corporate finance","J Tirole","Princeton University Press, 2010","2944","2010"
"Incentives and prosocial behavior","R Bénabou, J Tirole","American economic review 96 (5), 1652-1678, 2006","2897","2006"
"Intrinsic and extrinsic motivation","R Benabou, J Tirole","The review of economic studies 70 (3), 489-520, 2003","2886","2003"
"Some simple economics of open source","J Lerner, J Tirole","The journal of industrial economics 50 (2), 197-234, 2002","2885","2002"
"Two-sided markets: a progress report","JC Rochet, J Tirole","The RAND journal of economics 37 (3), 645-667, 2006","2640","2006"
"The prudential regulation of banks","M Dewatripont, J Tirole","ULB--Universite Libre de Bruxelles, 1994","1953","1994"
"Market liquidity and performance monitoring","B Holmström, J Tirole","Journal of Political Economy 101 (4), 678-709, 1993","1944","1993"
"Hierarchies and bureaucracies: On the role of collusion in organizations","J Tirole","JL Econ. & Org. 2, 181, 1986","1919","1986"
"Using cost observation to regulate firms","JJ Laffont, J Tirole","Journal of political Economy 94 (3, Part 1), 614-641, 1986","1783","1986"
"Private and public supply of liquidity","B Holmström, J Tirole","Journal of political Economy 106 (1), 1-40, 1998","1778","1998"
"Competition in telecommunications","JJ Laffont, J Tirole","MIT press, 2001","1765","2001"
"The management of innovation","P Aghion, J Tirole","The Quarterly Journal of Economics 109 (4), 1185-1209, 1994","1633","1994"
"Incomplete contracts: Where do we stand?","J Tirole","Econometrica 67 (4), 741-781, 1999","1608","1999"
"The theory of the firm","BR Holmstrom, J Tirole","Handbook of industrial organization 1, 61-133, 1989","1504","1989"
"Asset bubbles and overlapping generations","J Tirole","Econometrica: Journal of the Econometric Society, 1499-1528, 1985","1465","1985"
"Self-confidence and personal motivation","R Bénabou, J Tirole","The Quarterly Journal of Economics 117 (3), 871-915, 2002","1444","2002"
"A theory of collective reputations (with applications to the persistence of corruption and to firm quality)","J Tirole","The Review of Economic Studies 63 (1), 1-22, 1996","1343","1996"
"The fat-cat effect, the puppy-dog ploy, and the lean and hungry look","D Fudenberg, J Tirole","American Economic Review 74 (2), 361-366, 1984","1325","1984"
"The politics of government decision-making: A theory of regulatory capture","JJ Laffont, J Tirole","The quarterly journal of economics 106 (4), 1089-1127, 1991","1222","1991"
"On the possibility of speculation under rational expectations","J Tirole","Econometrica: Journal of the Econometric Society, 1163-1181, 1982","1203","1982"
"Preemption and rent equalization in the adoption of new technology","D Fudenberg, J Tirole","The Review of Economic Studies 52 (3), 383-401, 1985","1201","1985"
"Belief in a just world and redistributive politics","R Benabou, J Tirole","The Quarterly journal of economics 121 (2), 699-746, 2006","1171","2006"
"Vertical integration and market foreclosure","O Hart, J Tirole, DW Carlton, OE Williamson","Brookings papers on economic activity. Microeconomics 1990, 205-286, 1990","1161","1990"
"A theory of debt and equity: Diversity of securities and manager-shareholder congruence","M Dewatripont, J Tirole","The quarterly journal of economics 109 (4), 1027-1054, 1994","1142","1994"
"Interbank lending and systemic risk","JC Rochet, J Tirole","Journal of Money, credit and Banking 28 (4), 733-762, 1996","1063","1996"
"Collective moral hazard, maturity mismatch, and systemic bailouts","E Farhi, J Tirole","American Economic Review 102 (1), 60-93, 2012","1053","2012"
"The internal organization of government","J Tirole","Oxford economic papers, 1-29, 1994","1043","1994"
"Individual and corporate social responsibility","R Bénabou, J Tirole","Economica 77 (305), 1-19, 2010","1027","2010"
"Unforeseen contingencies and incomplete contracts","E Maskin, J Tirole","The Review of Economic Studies 66 (1), 83-114, 1999","1016","1999"
"Network competition: I. Overview and nondiscriminatory pricing","JJ Laffont, P Rey, J Tirole","The RAND Journal of Economics, 1-37, 1998","1004","1998"
"A theory of income and dividend smoothing based on incumbency rents","D Fudenberg, J Tirole","Journal of Political economy 103 (1), 75-93, 1995","935","1995"
"The politician and the judge: Accountability in government","E Maskin, J Tirole","American Economic Review 94 (4), 1034-1054, 2004","910","2004"
"A primer on foreclosure","P Rey, J Tirole","Handbook of industrial organization 3, 2145-2220, 2007","895","2007"
"Markov perfect equilibrium: I. Observable actions","E Maskin, J Tirole","Journal of Economic Theory 100 (2), 191-219, 2001","868","2001"
"The dynamics of incentive contracts","JJ Laffont, J Tirole","Econometrica: Journal of the Econometric Society, 1153-1175, 1988","865","1988"
"Cooperation among competitors: The economics of payment card associations","JC Rochet, J Tirole","Rand Journal of economics 33 (4), 1-22, 2002","813","2002"
"A theory of dynamic oligopoly, II: Price competition, kinked demand curves, and Edgeworth cycles","E Maskin, J Tirole","Econometrica: Journal of the Econometric Society, 571-599, 1988","813","1988"
"Advocates","M Dewatripont, J Tirole","Journal of political economy 107 (1), 1-39, 1999","745","1999"
"A theory of dynamic oligopoly, I: Overview and quantity competition with large fixed costs","E Maskin, J Tirole","Econometrica: Journal of the Econometric Society, 549-569, 1988","721","1988"
"Network competition: II. Price discrimination","JJ Laffont, P Rey, J Tirole","The RAND Journal of Economics, 38-56, 1998","710","1998"
"Collusion and the Theory of Organizations","J Tirole","Advances in economic theory 2, 151-206, 1992","707","1992"
"The economics of career concerns, part I: Comparing information structures","M Dewatripont, I Jewitt, J Tirole","The Review of Economic Studies 66 (1), 183-198, 1999","704","1999"
"Preemption, leapfrogging and competition in patent races","D Fudenberg, R Gilbert, J Stiglitz, J Tirole","European Economic Review 22 (1), 3-31, 1983","704","1983"
"Game theory","D Fudenberg, J Tirole","MIT press, 1991","701","1991"
"Perfect Bayesian equilibrium and sequential equilibrium","D Fudenberg, J Tirole","journal of Economic Theory 53 (2), 236-260, 1991","683","1991"
"Transmission rights and market power on electric power networks","PL Joskow, J Tirole","The Rand Journal of Economics, 450-487, 2000","681","2000"
"The economics of career concerns, part II: Application to missions and accountability of government agencies","M Dewatripont, I Jewitt, J Tirole","The Review of Economic Studies 66 (1), 199-217, 1999","677","1999"
"Identity, morals, and taboos: Beliefs as assets","R Bénabou, J Tirole","The Quarterly Journal of Economics 126 (2), 805-855, 2011","672","2011"
"The logic of vertical restraints","P Rey, J Tirole","The American Economic Review, 921-939, 1986","632","1986"
"Willpower and personal rules","R Bénabou, J Tirole","Journal of Political Economy 112 (4), 848-886, 2004","618","2004"
"Planning under incomplete information and the ratchet effect","X Freixas, R Guesnerie, J Tirole","The review of economic studies 52 (2), 173-191, 1985","610","1985"
"Customer poaching and brand switching","D Fudenberg, J Tirole","RAND Journal of Economics, 634-657, 2000","608","2000"
"The scope of open source licensing","J Lerner, J Tirole","Journal of Law, Economics, and Organization 21 (1), 20-56, 2005","593","2005"
"Access pricing and competition","JJ Laffont, J Tirole","European Economic Review 38 (9), 1673-1710, 1994","585","1994"
"Two-sided markets: an overview","JC Rochet, J Tirole","Institut d’Economie Industrielle working paper, 2004","575","2004"
"The economics of technology sharing: Open source and beyond","J Lerner, J Tirole","Journal of Economic Perspectives 19 (2), 99-120, 2005","567","2005"
"A"" signal-jamming"" theory of predation","D Fudenberg, J Tirole","The RAND Journal of Economics, 366-376, 1986","566","1986"
"Moral hazard and renegotiation in agency contracts","D Fudenberg, J Tirole","Econometrica: Journal of the Econometric Society, 1279-1319, 1990","564","1990"
